Second Tier Authority,LAD14NM,LAD14CD,Year,I. Road Transport (A roads),J. Road Transport (Motorways),K. Road Transport (Minor roads),L. Diesel Railways,M. Transport Other,Transport Total,"Population                                              ('000s, mid-year estimate)",Per Capita Emissions (t),Per capita Transport emissions
Scotland,Aberdeen City,S12000033,2005,157.9,-,179.2,1.8,21.9,360.8,208.7,8.7,1.729067959
Scotland,Aberdeen City,S12000033,2006,165.7,-,181.3,1.8,22.4,371.2,209.6,8.7,1.770824923
Scotland,Aberdeen City,S12000033,2007,154.3,-,185.9,1.9,22.7,364.9,212.5,8.3,1.717340894
Scotland,Aberdeen City,S12000033,2008,145.2,-,183.3,1.9,22.3,352.7,214.0,8.3,1.648122572
Scotland,Aberdeen City,S12000033,2009,135.5,-,174.7,1.9,20.9,333.0,217.0,7.3,1.534638912
Scotland,Aberdeen City,S12000033,2010,135.8,-,171.2,1.9,20.3,329.2,219.7,7.6,1.498267516
Scotland,Aberdeen City,S12000033,2011,133.6,-,165.2,1.9,20.9,321.7,222.5,7.0,1.446294336
Scotland,Aberdeen City,S12000033,2012,135.2,-,161.9,1.9,20.9,319.8,224.9,7.4,1.421819246
Scotland,Aberdeen City,S12000033,2013,133.6,-,160.5,1.9,21.5,317.5,227.1,6.9,1.398296095
Scotland,Aberdeen City,S12000033,2014,134.0,-,164.3,2.0,22.3,322.6,228.9,6.1,1.409094945
Scotland,Aberdeen City,S12000033,2015,138.4,-,161.2,1.9,23.5,324.9,230.4,5.8,1.410673349
Scotland,Aberdeenshire,S12000034,2005,404.3,-,239.4,5.2,3.0,651.9,237.6,9.8,2.743921818
Scotland,Aberdeenshire,S12000034,2006,407.0,-,258.3,5.2,3.2,673.6,241.2,10.4,2.792988578
Scotland,Aberdeenshire,S12000034,2007,399.9,-,269.2,5.8,3.1,678.0,244.4,10.2,2.774287286
Scotland,Aberdeenshire,S12000034,2008,372.3,-,269.8,5.9,3.2,651.2,246.8,9.6,2.638053525
Scotland,Aberdeenshire,S12000034,2009,368.7,-,252.5,5.9,2.9,630.0,249.0,8.6,2.529838659
Scotland,Aberdeenshire,S12000034,2010,367.3,-,248.2,5.9,2.9,624.4,251.4,8.7,2.483294412
Scotland,Aberdeenshire,S12000034,2011,363.4,-,234.1,5.8,2.8,606.2,253.7,7.9,2.389786309
Scotland,Aberdeenshire,S12000034,2012,369.0,-,222.1,5.9,2.7,599.7,255.6,8.2,2.346610462
