City,Average Weekly Workplace Earnings 2016  (£),Claimant Count Sep 2017  (%),CO2 Emissions per Capita 2014  (tons),Commuting by Bicycle 2011  (%),"Commuting by Bus, Train or Metro 2011  (%)",Commuting by Other Methods 2011  (%),Commuting by Private Vehicle 2011  (%),Commuting on Foot 2011  (%),Employment Rate 2015  (%),Households in Social Rentership 2011  (%),Households Renting Privately or Living Rent-Free 2011  (%),Households that Own or Part-Own Their Home 2011  (%),Mean house price  2016  (£),Population 2015,Total Jobs 2015
Burnley,457.9,2.94,4.988187,1.155479815,7.521592626,0.437662187,70.60949946,12.12801942,74,12.8361238,20.21949852,66.94437769,102596.8647,177500,67700
Hull,461.6,3.55,4.7762476,8.064705193,13.53434984,0.722252779,61.1047492,11.45595701,67.3,28.09513659,21.91196845,49.99289495,103924.4615,259000,118300
Blackburn,481.4,2.91,4.7626138,0.978140542,7.002296648,0.454372718,71.09363383,12.32589264,65.3,18.11762244,17.22490541,64.65747215,118717.2327,146800,64300
Sunderland,476.3,3.15,5.371702,1.306877567,15.47761108,0.722568327,66.84415403,9.307799294,66.9,27.05372501,12.8935019,60.05277309,123424.7882,277200,118800
Barnsley,451.5,2.46,5.6580668,0.687398025,8.321184796,0.360111606,73.59599919,9.36483264,71.1,20.87874998,14.34470983,64.77654019,123857.2277,239300,75000
Stoke,441,2.01,5.9362791,1.354887445,7.476658105,0.377700559,74.29279347,9.29747696,72.3,22.37853499,14.61451523,63.00694978,125314.8554,378700,157500
Wigan,419.3,2.66,4.7685545,1.570296448,7.916855671,0.366224618,74.0267364,8.872775302,76.5,18.91909727,12.97273914,68.10816359,128944.62,322000,101900
Dundee,477.8,3.17,5.1095671,1.264425316,15.35422884,0.790050198,60.54751514,13.29802832,63.5,30.05650861,19.5265417,50.41694969,130492.3108,148200,73500
Liverpool,503.8,3.53,4.8522689,1.909252442,22.92922372,0.583382691,57.0530464,11.44312696,63.9,27.56068967,21.56788805,50.87142228,131046.3592,625800,294200
Mansfield,455.9,2.04,5.4865486,1.713646489,7.630886139,0.418527055,73.71765818,9.00701081,74.5,17.16792372,14.4263971,68.40567917,135739.5894,230100,88500
Doncaster,440.2,2.52,7.1082263,2.411538318,9.641669469,0.380375892,70.17748384,9.127526809,71.8,17.7117016,16.52818076,65.76011764,135963.7076,304800,120300
Middlesbrough,453.8,3.67,26.2165806,1.991182842,8.270251435,1.085732465,72.012342,9.698368371,68.9,19.82323554,15.11478974,65.06197472,138755.6728,469600,187700
Swansea,450.3,2.16,26.7849606,1.384656278,6.014600706,0.525427605,75.48107533,8.985430202,68.7,19.17322594,14.83311978,65.99365428,143670.7724,383400,152500
Wakefield,463,1.88,6.4990315,1.230998235,9.611534104,0.33327186,71.86684933,9.466633296,71.3,23.59380119,12.35204467,64.05415414,145036.7329,333800,146000
Blackpool,502.8,3.28,5.2149251,2.997008204,7.831833961,0.579595326,65.3889856,12.54052476,75.1,9.67839439,24.18087293,66.14073268,146394.3389,216900,99400
Bradford,467.5,2.62,4.5086987,0.767800783,14.05198756,0.489181819,65.28499066,10.58523685,65.1,14.80862636,19.60300257,65.58837107,152059.3845,531200,193100
Glasgow,525.2,2.76,5.0874083,1.306951903,23.12027397,0.732580935,55.93361077,9.280832519,69.2,30.00784721,14.43505711,55.55709568,154325.526,980800,528500
Newport,464.5,2.51,7.4608352,1.191374715,8.38452646,0.40126494,74.68782543,8.351087715,69.4,21.2867116,13.20012839,65.51316001,156965.5349,239600,103100
Derby,578.5,1.7,4.9467807,3.698564338,10.01316468,0.434078739,66.65510309,12.2351497,73.9,19.80033441,17.98359261,62.21607298,158444.1745,254300,124800
Telford,487.1,1.77,6.3464892,2.09768795,5.384576124,0.419792783,76.5681621,7.451640892,75.4,19.67631516,16.20375931,64.11992553,160255.243,171200,81300
Newcastle,491.8,3.22,4.9848674,2.226106599,21.45323509,0.878556446,58.69897273,9.83595977,70.1,27.59883652,15.14246002,57.25870345,161178.0574,845000,403800
Sheffield,465.8,2.48,5.4478532,1.462739672,16.04837565,0.422340328,63.93375076,10.53205972,68.6,23.71408044,15.40058128,60.88533828,161231.566,830500,349400
Nottingham,469.3,2.47,4.9414663,3.272070615,16.33873914,0.435764785,60.41233807,11.41320263,72,19.913872,19.18691327,60.89921474,161841.3732,661600,317000
Huddersfield,421.3,2.13,5.0257977,0.930887696,10.56253476,0.383581865,69.66220887,9.252743026,70,15.28598185,17.30413485,67.4098833,163036.969,434300,153300
Preston,459.4,1.86,6.2875909,2.186670352,8.323399158,0.378362502,70.72902449,9.423933012,76.7,14.6371174,14.07583385,71.28704875,163478.5117,363900,174100
Birkenhead,428.1,2.22,4.176069,1.625824525,13.95922218,0.795403383,67.3291455,7.999056664,69.7,15.17182021,16.85694572,67.97123408,169991.1282,320900,100400
Coventry,518.7,1.82,4.6003849,2.612678104,13.01686537,0.503780169,65.63099738,10.93486479,66.3,17.04149558,21.81162125,61.14688317,172586.3996,345400,154100
Manchester,500,2.62,4.9837395,2.133491238,15.25118358,0.450234285,63.86123841,10.10421899,69.7,22.35973298,18.02355599,59.61671104,175419.9606,2434100,1111100
Birmingham,506.7,3.72,4.6907306,1.530014453,17.03802683,0.39819035,64.82959198,8.571352103,64.2,23.60774237,15.79815813,60.5940995,177602.5639,2488200,1046900
Leicester,471.1,1.5,5.0997189,3.336962516,11.92257116,0.459068007,63.67848272,12.8854828,67.7,19.56210756,19.88643189,60.55146055,178284.4321,495000,237100
Plymouth,458.3,2.06,4.035087,2.600752558,11.66124666,0.860674578,64.02874023,14.12493828,74,19.29885552,21.23743219,59.4637123,179948.6365,262700,107800
Peterborough,511.1,1.41,5.7301825,5.667620735,9.774658125,0.488392168,67.41402026,8.525282813,75.5,19.4993448,20.29504343,60.20561177,182825.5964,194000,105000
Ipswich,489.3,1.99,3.7059762,4.595366453,10.03222407,0.389437835,61.82745613,16.01734907,73.8,21.59063144,21.10370345,57.30566512,184531.5822,135600,69500
Leeds,526.1,2.2,5.5873625,1.755788585,17.30818495,0.346822436,60.94334577,11.29988036,73.3,21.95192704,19.43567605,58.61239691,186206.5334,774100,429800
Gloucester,535.1,1.51,4.1633262,4.945090755,8.075080653,0.350311207,68.61700394,10.87757031,80.7,13.33121538,18.33488871,68.33389592,187148.7504,127200,62900
Warrington,513.8,2.17,6.7650907,2.555128103,7.095264536,0.380740858,73.73383834,6.978266043,78.5,15.64247122,12.06248532,72.29504346,193164.7631,207700,122300
Northampton,488.4,1.84,4.7127837,2.558244063,8.544647539,0.377369091,70.25151697,10.34908982,78.6,17.03237876,19.00350498,63.96411626,195348.1193,222500,123700
Aberdeen,593.4,2.07,6.15011,1.835379718,12.94406548,2.612096407,59.15597999,15.42701228,75.8,24.36273229,18.35911426,57.27815345,202731.8166,230400,179400
Swindon,564.2,2.04,5.6981559,4.193645604,9.686846455,0.382651896,68.16226632,9.493237381,79,16.27659574,16.92847442,66.79492983,204650.2766,217200,111200
Cardiff,515.5,2.09,5.5317841,3.628127858,13.36975453,0.464244991,60.2077512,14.81323693,69.2,17.09772231,23.34645089,59.55582679,211776.9398,357200,202300
Norwich,436.8,1.23,5.5184986,6.335659259,7.806235631,0.630016537,61.72790707,14.2193361,79.2,21.35321807,17.4774537,61.16932823,224807.2103,265500,131900
Luton,527.6,1.8,3.7000322,1.288102151,13.3720474,0.679364581,65.11810406,12.62429793,68.5,15.76864577,23.68190812,60.54944611,224900.0005,214700,87000
Chatham,472.5,1.86,3.6307504,1.120065673,13.4621001,0.408085943,67.98774953,9.190221724,72.3,13.17779096,18.12087488,68.70133416,228775.7767,276500,86300
Edinburgh,578.2,1.31,5.1713571,4.295042892,27.60736474,0.728226833,40.69913401,16.34046757,70.8,17.01673608,23.43679248,59.54647143,234069.9772,498800,318300
